image,date,gtfgloss,boxfgloss,fg1loss,fg2loss,fg3loss,fg4loss,gtbgloss,boxbgloss,bg1loss,bg2loss,bg3loss,bg4loss,bigloss
20200810_clip_0_0944_img_5,20200810,0.002594592631086415,0.0012649802314803511,0.0012867913543576953,0.00126928778247694,0.002000448997326799,0.0018465413140527952,0.004733101054281166,0.004708105812316488,0.0047611732968891535,0.0047603863977084245,0.004726104324248133,0.00474022994210677,0.004702866077423096
20200810_clip_11_1452_img_115,20200810,0.007927448540273531,0.0015468454844523819,0.007002603394369106,0.006871586867865934,0.007358980104397843,0.0070342855761774325,0.006868296687085617,0.006968938890631853,0.006912348861324164,0.0069268750743202955,0.006888563382399617,0.006913756258241265,0.006926240865141153
20200810_clip_19_1828_img_115,20200810,0.005906353391728305,0.002031223806958416,0.003044889198577325,0.001660186089778699,0.002781231850491792,0.0030002802371959536,0.005012901476572547,0.005038866250775873,0.005058748858428601,0.0050547393335493565,0.005073154700222775,0.005049325417461554,0.005030043888837099
20200810_clip_23_2012_img_5,20200810,0.008175769421371534,0.0032794650261218973,0.004244807625009073,0.004165441007116457,0.004438302215209813,0.004917644193180422,0.003945048620696369,0.003999151677861619,0.004056944452970519,0.00406103687940395,0.0040509584564387595,0.004035396338656557,0.00406933669000864
20200810_clip_31_2356_img_115,20200810,0.002655747817912153,0.001558192240636327,0.002966443628183983,0.0018195223008973728,0.00250722739213928,0.0020895813883544333,0.0029003185925814837,0.0029012407848418536,0.002895801779927349,0.0029115043668899335,0.0029004851687978736,0.002904274140149974,0.002897256053984165
20200811_clip_0_0000_img_5,20200811,0.004355116978155712,0.0020963349397977527,0.002401371878340822,0.002868778536905438,0.0036842238052956955,0.002660171761803971,0.0028867038123606024,0.002895954450748007,0.0028986747213247286,0.002895775382195641,0.0028899705841223763,0.0028967107573098084,0.002895785728469491
20200811_clip_15_0638_img_5,20200811,0.0053907049451078414,0.003411930509071435,0.0021722958212793977,0.0021846160417622095,0.0039720421626205935,0.003364162587831137,0.0025741906792268333,0.0025794758529554393,0.002615519364274592,0.002616770895910032,0.002590998458986795,0.002594396639581152,0.0026033702306449413
20200811_clip_20_0858_img_5,20200811,0.003774856351546777,0.001552032434436368,0.0022380052946926947,0.002544985544011419,0.0023421841947920473,0.002365542916967446,0.0030918940548173724,0.0030940235160356517,0.003101039092693043,0.0030980736030011796,0.0030989565439220926,0.0030978749204514005,0.00309377140365541
20200811_clip_37_1610_img_115,20200811,0.004793029283853853,0.0,0.0094599204932093,0.009664463012433287,0.005515927406518992,0.006724958889776529,0.007137558516158615,0.007060801534979201,0.006920880233578832,0.006904989078428908,0.007124994055609923,0.007068258803364557,0.007060801610350609
20200811_clip_53_2327_img_115,20200811,0.005136781306339293,0.0018306239454791932,0.0029194089923607197,0.0026438470230369508,0.0025235487953038844,0.0029043608429759975,0.0026170463329602627,0.00264611817058841,0.0026483011770445314,0.0026599647870630396,0.002665226063372496,0.0026504976282047937,0.0026605178136378527
20200812_clip_0_0000_img_5,20200812,0.006145279087273381,0.00428680073206712,0.0016190450587602262,0.000976380401582331,0.002823401620673566,0.0024900337434624,0.0028942390272853656,0.0028933611307408163,0.0029224471591324263,0.0029232578832745857,0.0029136198640862705,0.002914266639667581,0.0029135351069271564
20200812_clip_15_0656_img_88,20200812,0.007200576447777402,0.0035493826960316197,0.0029687701935801098,0.0036195344855121554,0.004730647684142056,0.004354433275878377,0.0027743615889251495,0.0027769467410174095,0.0027910153537478648,0.0027815004915166404,0.0027819560769086786,0.002781538046913896,0.002794221043586731
20200812_clip_32_1420_img_115,20200812,0.00434657922682055,0.0007823041257406173,0.0037595026162330725,0.0031708926828204072,0.0055279701945505225,0.0075398258490387265,0.0050720402059185625,0.005108935165010957,0.005112103588440449,0.005150878042530896,0.0050167668015000146,0.00490789003651958,0.005046734120696783
20200812_clip_43_1902_img_5,20200812,0.00689173709234651,0.003935359310385051,0.005102245337582496,0.004208135375463977,0.003487425257456561,0.0032873791135888584,0.00510330683704024,0.005156783063895971,0.005157214911258421,0.005192547955842684,0.005214650379536509,0.005206919072748089,0.005157842300832272
20200812_clip_54_2350_img_115,20200812,0.0044314503588888466,0.00321197496814113,0.003125907962251921,0.0028032736831437137,0.004142332335597754,0.0035871010701444494,0.0030335234807264628,0.0030542683851877395,0.0030737160700089004,0.0030821389954000756,0.003059187758019913,0.0030668337397052876,0.0030753579922020435
20200813_clip_0_0000_img_5,20200813,0.006280950036158973,0.0,0.006843056087617481,0.0062187578162338315,0.005626748724673007,0.004934196917152351,0.0031524720448369943,0.0031764253393344,0.003151784747983921,0.003155150042887705,0.0031572201565259685,0.0031624931487623273,0.003176425350829959
20200813_clip_16_0709_img_115,20200813,0.005563709711650566,0.003026141213272995,0.004082225934417696,0.004647004012191198,0.006840690027511999,0.005186417499322824,0.003192478050323617,0.0032266508833706394,0.003134710654674907,0.003057618119646521,0.0031983697307197737,0.003186971117487046,0.003240359714254737
20200813_clip_33_1435_img_115,20200813,0.006594935869435175,0.0003611580541387404,0.005126642008646103,0.005398606030428624,0.005029097868006609,0.005359815123026767,0.006678963599682098,0.006705171418282232,0.006747730001373422,0.006733223977522705,0.006734723515966884,0.00671519313169627,0.006679616402834654
20200813_clip_42_1839_img_115,20200813,0.00422140350159516,0.0014294598276832367,0.0018963763525466776,0.0014397807768345978,0.0025351945133942257,0.0014886476745664943,0.004677770356309611,0.0046871818587763195,0.004715280363397776,0.004721418492917579,0.004717523965882238,0.0047330964155946524,0.0046594589948654175
20200813_clip_54_2348_img_115,20200813,0.014144085319471865,0.010103581903549569,0.013558627164048067,0.014401135658267714,0.01941737827441753,0.01412845556369596,0.003171691420164973,0.0031850869681898947,0.0031813200378390826,0.003167863807822858,0.003172440230633529,0.0031868205942734585,0.003483098465949297
20200814_clip_0_0000_img_5,20200814,0.0,0.0,0.005564852134441961,0.0,0.006469753474679431,0.006063638601735613,0.003274067129600803,0.003274067129600803,0.003264702731099561,0.003274067129600803,0.0032501244298028652,0.0032634145176167148,0.003274067072197795
20200814_clip_16_0703_img_115,20200814,0.010937003019292974,0.003206164535862349,0.005791748426754654,0.011873244724609893,0.009051431388316614,0.007653945896452267,0.003817822798485486,0.0038281928534619884,0.00383869094260731,0.0038197950703823427,0.003836644685681097,0.0038394397326591825,0.003853148315101862
20200814_clip_30_1311_img_115,20200814,0.00844552997173959,0.006297037246474047,0.0066827951469066406,0.0068727463698464416,0.005957883662466778,0.005920143189370802,0.006640693921086774,0.006673488823134873,0.006711576695126993,0.006704159837024484,0.006739153968428986,0.006731310810656219,0.006713610142469406
20200814_clip_41_1808_img_5,20200814,0.004117765620456073,0.0015790566525885888,0.002626447129164145,0.0024093257047640287,0.003325989923246344,0.002327095748864375,0.005058504334970819,0.005077847626604367,0.005124762998591311,0.0051134940247680016,0.005089683619489399,0.0051029417949129624,0.005043912213295698
20200814_clip_54_2347_img_115,20200814,0.0031830951401744184,0.00235101758684707,0.002775138421566705,0.0027051402498760478,0.003487095329536118,0.0030209877210080867,0.003232397146894792,0.003218601522564725,0.0032559448488561054,0.0032645360271259267,0.0032210382018544354,0.0032373893583166665,0.0032317298464477062
20200815_clip_0_0000_img_5,20200815,0.005419977948243356,0.0020824998171889773,0.003896447711970487,0.00404067072316661,0.0041282305279403,0.0034254616224809607,0.0032633135744660783,0.003280512310244866,0.0032834741526258115,0.0032820419435748904,0.003278010609630958,0.0032909782244892193,0.0032931838650256395
20200815_clip_19_0837_img_5,20200815,0.007206209088061819,0.006573964939083703,0.0011183632674302843,0.0006980503638340411,0.0007179849155293094,0.0014967467639258145,0.0021716751386698764,0.0021709182604482727,0.0021937085547967796,0.0022001992624163837,0.002190704892036112,0.0021906892024636934,0.0021893030498176813
20200815_clip_30_1344_img_115,20200815,0.008331798687674448,0.005234956468008878,0.0068959052929352775,0.00681305487957695,0.00759787833160554,0.008001049121513023,0.007775815779777504,0.007785736765792488,0.007860647275432439,0.007872283310284054,0.0078026918162219456,0.0077896744198102715,0.007799433544278145
20200815_clip_41_1839_img_5,20200815,0.004281500989942101,0.0019680006580365655,0.003080604498283592,0.002431434961233388,0.003128817899173111,0.0025895353647256013,0.004218329422450761,0.004229022088416539,0.004259853821641325,0.004267036353968677,0.004254777408628344,0.004257694345281234,0.004221071023494005
20200815_clip_53_2349_img_115,20200815,0.01643265850432617,0.008271698863699876,0.005640973982065387,0.004310652262020186,0.015151305155974501,0.016722199525895386,0.0032631293869576443,0.0033039929547634683,0.0034577834590268784,0.0034804384156585525,0.0032431886370416175,0.0032310208263675194,0.003495721612125635
20200816_clip_0_0000_img_5,20200816,0.00694106774963161,0.0037255870215204103,0.005308828621936197,0.004643928204425823,0.005823252614245821,0.005402308627051633,0.0031341794186072153,0.0031765034675880276,0.0032042120158269154,0.0032338001621930357,0.003198164807833453,0.003231704575588942,0.003317534923553467
