Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20200814,clip_34_1503,0,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006458642892539501,0.0009664615349155101
20200814,clip_34_1503,2,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.00638287328183651,0.0009167677983044506
20200814,clip_34_1503,4,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006415765732526779,0.0009718580189898867
20200814,clip_34_1503,6,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006555352825671434,0.000724387837474405
20200814,clip_34_1503,8,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006468496285378933,0.0010300196233937978
20200814,clip_34_1503,10,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006336971186101437,0.0007015555739174075
20200814,clip_34_1503,12,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006362727843225002,0.0008903289299954876
20200814,clip_34_1503,14,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006497454363852739,0.0011160175985618056
20200814,clip_34_1503,16,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006644466891884804,0.0009728533272893003
20200814,clip_34_1503,18,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006480701267719269,0.0007724754341583661
20200814,clip_34_1503,20,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0063903131522238255,0.000730947349015561
20200814,clip_34_1503,22,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006306452676653862,0.000721969304267435
20200814,clip_34_1503,24,2021-02-14 00:00:00,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006343348417431116,0.000983923768579176
