image,date,boxfgloss,boxbgloss,bigloss
20200814_clip_34_1503_image_0000,20200814,0.005257173109142399,0.023567319262503692,0.022936534136533737
20200814_clip_34_1503_image_0002,20200814,0.0046278022420596,0.024102690764801146,0.023521842435002327
20200814_clip_34_1503_image_0004,20200814,0.004629995100383437,0.02344891373690113,0.023048684000968933
20200814_clip_34_1503_image_0006,20200814,0.004052660852286533,0.024650475873993296,0.024100791662931442
20200814_clip_34_1503_image_0008,20200814,0.00435540860678745,0.02381152772848038,0.0234410148113966
20200814_clip_34_1503_image_0010,20200814,0.0030424421567219143,0.023287213582142623,0.02279263734817505
20200814_clip_34_1503_image_0012,20200814,0.004458696444067694,0.023559571443363635,0.02316502295434475
20200814_clip_34_1503_image_0014,20200814,0.005152013153460884,0.02375112167944597,0.02347853034734726
20200814_clip_34_1503_image_0016,20200814,0.004926129278813524,0.024583039215981605,0.024127403274178505
20200814_clip_34_1503_image_0018,20200814,0.004125897136551046,0.02400279246068064,0.023570826277136803
20200814_clip_34_1503_image_0020,20200814,0.0032076296634110583,0.02377799564186207,0.0234213937073946
20200814_clip_34_1503_image_0022,20200814,0.003475895827495241,0.023435022772542387,0.02312697097659111
20200814_clip_34_1503_image_0024,20200814,0.004441900916665582,0.02337989509454746,0.02308175526559353
20200814_clip_34_1503_image_0026,20200814,0.0043346067729214755,0.02330468059735828,0.02301759459078312
20200814_clip_34_1503_image_0028,20200814,0.005037967929671907,0.023044886291388324,0.022815031930804253
20200814_clip_34_1503_image_0030,20200814,0.0028101269496290282,0.022838424161879246,0.02235889807343483
20200814_clip_34_1503_image_0032,20200814,0.004064006528030728,0.023208622439958717,0.02283453196287155
20200814_clip_34_1503_image_0034,20200814,0.004093100926865065,0.023099107871293836,0.022732345387339592
20200814_clip_34_1503_image_0036,20200814,0.00510807536568352,0.023246548441224854,0.022722909227013588
20200814_clip_34_1503_image_0038,20200814,0.004736582901604915,0.02412978552303228,0.023483451455831528
20200814_clip_34_1503_image_0040,20200814,0.004987889170663259,0.025046069431401984,0.024400917813181877
20200814_clip_34_1503_image_0042,20200814,0.004783654983643563,0.0245248157883505,0.02372347004711628
20200814_clip_34_1503_image_0044,20200814,0.005475203827757346,0.02465177084824057,0.024113046005368233
20200814_clip_34_1503_image_0046,20200814,0.0069705865301787255,0.02484052633011043,0.02448306791484356
20200814_clip_34_1503_image_0048,20200814,0.0067591106763703265,0.023275867075500174,0.02288134954869747
20200814_clip_34_1503_image_0050,20200814,0.0066925809568346845,0.024786560616818328,0.024375246837735176
20200814_clip_34_1503_image_0052,20200814,0.006225213130235122,0.024986728548692674,0.0245953481644392
20200814_clip_34_1503_image_0054,20200814,0.0075866244085384844,0.02578201820741291,0.025434359908103943
20200814_clip_34_1503_image_0056,20200814,0.008977099298331258,0.025279745257588155,0.025049861520528793
20200814_clip_34_1503_image_0058,20200814,0.008316686990175473,0.024847225581086915,0.024499502032995224
20200814_clip_34_1503_image_0060,20200814,0.007081998217111537,0.025351223191032547,0.024820350110530853
20200814_clip_34_1503_image_0062,20200814,0.006159500673580247,0.024811382192412725,0.024178871884942055
20200814_clip_34_1503_image_0064,20200814,0.005952338841808105,0.024397232649997158,0.023902857676148415
20200814_clip_34_1503_image_0066,20200814,0.0074335608586675985,0.02428896263864963,0.024003995582461357
20200814_clip_34_1503_image_0068,20200814,0.006942899225332576,0.02383522462956648,0.023589834570884705
20200814_clip_34_1503_image_0070,20200814,0.0066120501274697175,0.024174893839813714,0.023830030113458633
20200814_clip_34_1503_image_0072,20200814,0.005082787115844616,0.024024465685266484,0.023577570915222168
20200814_clip_34_1503_image_0074,20200814,0.004386801679130432,0.023976629431285156,0.023551179096102715
20200814_clip_34_1503_image_0076,20200814,0.005144134729279206,0.02404682054649643,0.023706793785095215
20200814_clip_34_1503_image_0078,20200814,0.004650178700211335,0.024432694734347983,0.023991061374545097
20200814_clip_34_1503_image_0080,20200814,0.004673934160583606,0.024197980815465963,0.02381669543683529
20200814_clip_34_1503_image_0082,20200814,0.005908620311566768,0.023940839346378338,0.023622088134288788
20200814_clip_34_1503_image_0084,20200814,0.005179774436773921,0.024142037026019462,0.02367471158504486
20200814_clip_34_1503_image_0086,20200814,0.003464565899623926,0.023891884918691143,0.023472880944609642
20200814_clip_34_1503_image_0088,20200814,0.0065160031527143345,0.02412137921786346,0.02368193119764328
20200814_clip_34_1503_image_0090,20200814,0.0052727005865329255,0.023823500790685473,0.02348010614514351
20200814_clip_34_1503_image_0092,20200814,0.003967721840785251,0.0235773293334416,0.023354563862085342
20200814_clip_34_1503_image_0094,20200814,0.004323906625186219,0.023743904670169905,0.023450259119272232
20200814_clip_34_1503_image_0096,20200814,0.003106040100954555,0.024142268569125328,0.02362504042685032
20200814_clip_34_1503_image_0098,20200814,0.004034398606151779,0.023951932546850834,0.02361162006855011
20200814_clip_34_1503_image_0100,20200814,0.004457689031942957,0.023534588997029995,0.023310326039791107
20200814_clip_34_1503_image_0102,20200814,0.005369852111898983,0.024008781866886215,0.02364785224199295
20200814_clip_34_1503_image_0104,20200814,0.00531029989263393,0.023695814788760566,0.023438815027475357
20200814_clip_34_1503_image_0106,20200814,0.0034418935319966266,0.02394004016606774,0.02359156683087349
20200814_clip_34_1503_image_0108,20200814,0.004433388651171071,0.023502357554153464,0.02314530499279499
20200814_clip_34_1503_image_0110,20200814,0.0068304279835329305,0.022763868352905656,0.022680632770061493
20200814_clip_34_1503_image_0112,20200814,0.004225275574256604,0.022839318430057542,0.022509928792715073
20200814_clip_34_1503_image_0114,20200814,0.003284740639995831,0.02297196944745414,0.022575780749320984
20200814_clip_34_1503_image_0116,20200814,0.004435972356500749,0.022989229388521562,0.02256159484386444
20200814_clip_34_1503_image_0118,20200814,0.004255293282869874,0.02383021154234678,0.023294981569051743
20200814_clip_34_1503_image_0120,20200814,0.004987798150249306,0.023160984996819716,0.02277710661292076
20200814_clip_35_1520_image_0000,20200814,0.0033738824720504802,0.024662943564174925,0.0243131872266531
20200814_clip_35_1520_image_0002,20200814,0.004163952771961027,0.02484054909943637,0.024483967572450638
20200814_clip_35_1520_image_0004,20200814,0.0042382695295059974,0.024911586112924787,0.024477366358041763
20200814_clip_35_1520_image_0006,20200814,0.00484731068596383,0.02423483232941851,0.023925606161355972
20200814_clip_35_1520_image_0008,20200814,0.005356467887115102,0.024608967850714005,0.024341365322470665
20200814_clip_35_1520_image_0010,20200814,0.0043938816755785155,0.024488680368670426,0.023917796090245247
20200814_clip_35_1520_image_0012,20200814,0.00639455697806823,0.024404467945140635,0.023916637524962425
20200814_clip_35_1520_image_0014,20200814,0.0034882106335525575,0.02454158016709559,0.023858489468693733
20200814_clip_35_1520_image_0016,20200814,0.00320320225604879,0.025013281352301533,0.0243243295699358
20200814_clip_35_1520_image_0018,20200814,0.003821160863016267,0.02450549223867166,0.02406672202050686
20200814_clip_35_1520_image_0020,20200814,0.004884435959062145,0.02431124592286388,0.023894989863038063
20200814_clip_35_1520_image_0022,20200814,0.0048558984535376345,0.024205071059774978,0.023865504190325737
20200814_clip_35_1520_image_0024,20200814,0.004985017217998644,0.024739502874381543,0.024411669000983238
20200814_clip_35_1520_image_0026,20200814,0.005610558874355203,0.023959525252372164,0.023725006729364395
20200814_clip_35_1520_image_0028,20200814,0.004659863402721862,0.024204699144006473,0.023860005661845207
20200814_clip_35_1520_image_0030,20200814,0.00522093365239089,0.0243283082611605,0.024010132998228073
20200814_clip_35_1520_image_0032,20200814,0.006250371676341913,0.024266371056230134,0.024132080376148224
20200814_clip_35_1520_image_0034,20200814,0.005892945574253482,0.024220183460042788,0.023982737213373184
20200814_clip_35_1520_image_0036,20200814,0.005109117396874996,0.02377969495316033,0.02343907207250595
20200814_clip_35_1520_image_0038,20200814,0.005599291552031781,0.024474275904910935,0.024128910154104233
20200814_clip_35_1520_image_0040,20200814,0.0045847880734423314,0.024423396468115602,0.0240402203053236
20200814_clip_35_1520_image_0042,20200814,0.004613282594277336,0.024671283920508075,0.024214431643486023
20200814_clip_35_1520_image_0044,20200814,0.004445221768627531,0.02409795576179364,0.02372216247022152
20200814_clip_35_1520_image_0046,20200814,0.0038438401765816988,0.024642556388390996,0.024166513234376907
20200814_clip_35_1520_image_0048,20200814,0.005725370380949207,0.025019849264357852,0.02475626766681671
20200814_clip_35_1520_image_0050,20200814,0.004839833224599772,0.025288171765103465,0.024861089885234833
20200814_clip_35_1520_image_0052,20200814,0.00477503916696328,0.025015959047224492,0.024607084691524506
20200814_clip_35_1520_image_0054,20200814,0.004701670457988529,0.02445746053015824,0.024149367585778236
20200814_clip_35_1520_image_0056,20200814,0.004033211771100348,0.023783327187066286,0.023517441004514694
20200814_clip_35_1520_image_0058,20200814,0.003890243493469414,0.023689936251858425,0.023512160405516624
20200814_clip_35_1520_image_0060,20200814,0.004098219080289163,0.023715094831420105,0.023546777665615082
20200814_clip_35_1520_image_0062,20200814,0.005298963792605014,0.02368321418776752,0.02360525168478489
20200814_clip_35_1520_image_0064,20200814,0.004094012901470986,0.02392908100349967,0.023741479963064194
20200814_clip_35_1520_image_0066,20200814,0.0035820915614772904,0.02383162202515629,0.02365138940513134
20200814_clip_35_1520_image_0068,20200814,0.0029517087376868356,0.02390645853757682,0.023700715973973274
20200814_clip_35_1520_image_0070,20200814,0.0036635301241415997,0.02397115637738481,0.023756682872772217
20200814_clip_35_1520_image_0072,20200814,0.0036479590963473915,0.0243893236759174,0.02413630299270153
20200814_clip_35_1520_image_0074,20200814,0.002860183157962501,0.024329726556983795,0.024030577391386032
20200814_clip_35_1520_image_0076,20200814,0.0037823521821947017,0.02420169842106769,0.023774826899170876
20200814_clip_35_1520_image_0078,20200814,0.003912855635327044,0.02450876962099631,0.02420191466808319
20200814_clip_35_1520_image_0080,20200814,0.0045523070357202195,0.024095548604997272,0.023886488750576973
20200814_clip_35_1520_image_0082,20200814,0.0034548147611356355,0.024109528182382788,0.02382216788828373
20200814_clip_35_1520_image_0084,20200814,0.004285685019406366,0.02385853110080807,0.023674961179494858
20200814_clip_35_1520_image_0086,20200814,0.004276861597566289,0.023757014905819232,0.023589620366692543
20200814_clip_35_1520_image_0088,20200814,0.004846622163829927,0.023273647087446066,0.023085439577698708
20200814_clip_35_1520_image_0090,20200814,0.0037690219180164224,0.024100687128928724,0.02376711182296276
20200814_clip_35_1520_image_0092,20200814,0.004138522080930948,0.023798549160493464,0.02352243661880493
20200814_clip_35_1520_image_0094,20200814,0.0029385865242923283,0.023821920147584004,0.023376742377877235
20200814_clip_35_1520_image_0096,20200814,0.004764525296703365,0.02455014609710703,0.024223437532782555
20200814_clip_35_1520_image_0098,20200814,0.005966247383885074,0.024481094533545848,0.024167334660887718
20200814_clip_35_1520_image_0100,20200814,0.0074502970867756525,0.024502813689447678,0.024362443014979362
20200814_clip_35_1520_image_0102,20200814,0.006761825128720218,0.024335905186804025,0.024103261530399323
20200814_clip_35_1520_image_0104,20200814,0.0055406420588449455,0.024249024681932376,0.02398642711341381
20200814_clip_35_1520_image_0106,20200814,0.003838237997679219,0.023874991120093975,0.02356366254389286
20200814_clip_35_1520_image_0108,20200814,0.004184920539944822,0.02401184484400628,0.02370494231581688
20200814_clip_35_1520_image_0110,20200814,0.004447697684659419,0.023633286703130613,0.023274920880794525
20200814_clip_35_1520_image_0112,20200814,0.004656436124646504,0.02365658397985047,0.023264756426215172
20200814_clip_35_1520_image_0114,20200814,0.0049320272356916115,0.024268990661629006,0.023771217092871666
20200814_clip_35_1520_image_0116,20200814,0.005391359316019145,0.024107158383094848,0.02370203472673893
20200814_clip_35_1520_image_0118,20200814,0.005147447668247187,0.02419145294573799,0.023960618302226067
20200814_clip_35_1520_image_0120,20200814,0.005303389600750819,0.024702144911980976,0.024351300671696663
20200814_clip_36_1548_image_0000,20200814,0.007410301948414558,0.025142808917917297,0.02458113804459572
20200814_clip_36_1548_image_0002,20200814,0.006984496650498437,0.024946416780241558,0.024343393743038177
20200814_clip_36_1548_image_0004,20200814,0.006796192508401064,0.024901836737884597,0.024353226646780968
20200814_clip_36_1548_image_0006,20200814,0.005104753605694857,0.024815661160044553,0.02428961731493473
20200814_clip_36_1548_image_0008,20200814,0.005655615291801663,0.024753774023804336,0.024327483028173447
20200814_clip_36_1548_image_0010,20200814,0.00991491409864461,0.025016562503716887,0.024861346930265427
20200814_clip_36_1548_image_0012,20200814,0.007768101382830331,0.02542877289317911,0.02505710907280445
20200814_clip_36_1548_image_0014,20200814,0.007535291554240128,0.02518925160640654,0.02493741735816002
20200814_clip_36_1548_image_0016,20200814,0.00646100917547316,0.02542410241389374,0.02501080185174942
20200814_clip_36_1548_image_0018,20200814,0.0059932409270428005,0.02493819391829108,0.02455284632742405
20200814_clip_36_1548_image_0020,20200814,0.007062487706963955,0.02412495831414893,0.024033455178141594
20200814_clip_36_1548_image_0022,20200814,0.004919097472733724,0.02570223936409426,0.02501434087753296
