image,date,boxfgloss,boxbgloss,bigloss
20200814_clip_34_1503_image_0000,20200814,0.0014968490958064138,0.006955478520152921,0.0067776869982481
20200814_clip_34_1503_image_0002,20200814,0.0016206734465861966,0.006874586421176199,0.006768569815903902
20200814_clip_34_1503_image_0004,20200814,0.0012782811246098897,0.006852553301458443,0.006729301530867815
20200814_clip_34_1503_image_0006,20200814,0.001036300871065449,0.007171377093386445,0.006995481438934803
20200814_clip_34_1503_image_0008,20200814,0.0013127613985149647,0.00698798564078166,0.00688336743041873
20200814_clip_34_1503_image_0010,20200814,0.000841041884197,0.00696272538295236,0.006806626450270414
20200814_clip_34_1503_image_0012,20200814,0.0010223744244226307,0.006997048950129605,0.006838299799710512
20200814_clip_34_1503_image_0014,20200814,0.0015268711912807494,0.006997797654394346,0.006918017286807299
20200814_clip_34_1503_image_0016,20200814,0.0010566562776699933,0.007115398486585436,0.006922649219632149
20200814_clip_34_1503_image_0018,20200814,0.0010556643545599148,0.0069111683694475234,0.006772563327103853
20200814_clip_34_1503_image_0020,20200814,0.0009698180505273302,0.007010209584042044,0.006905227899551392
20200814_clip_34_1503_image_0022,20200814,0.0009160686318016264,0.00703598487558137,0.006935888901352882
20200814_clip_34_1503_image_0024,20200814,0.0010536549991861089,0.007014460910902859,0.006896639242768288
20200814_clip_34_1503_image_0026,20200814,0.0012333125771647432,0.006994044505389358,0.006900756619870663
20200814_clip_34_1503_image_0028,20200814,0.0010994994563951926,0.006987540854628253,0.006890160031616688
20200814_clip_34_1503_image_0030,20200814,0.0006837111540574286,0.006747889104425858,0.006589070428162813
20200814_clip_34_1503_image_0032,20200814,0.0008680045596481305,0.006972335143315528,0.006818512920290232
20200814_clip_34_1503_image_0034,20200814,0.0013278388840535693,0.0068845843259894915,0.006788190919905901
20200814_clip_34_1503_image_0036,20200814,0.0016135682003075335,0.006693831363374323,0.006590031553059816
20200814_clip_34_1503_image_0038,20200814,0.001959727272410941,0.0069291784165362745,0.0068508414551615715
20200814_clip_34_1503_image_0040,20200814,0.00199551590728682,0.007226174007324361,0.007053311448544264
20200814_clip_34_1503_image_0042,20200814,0.0011721344387385694,0.0073109958162150416,0.007009475491940975
20200814_clip_34_1503_image_0044,20200814,0.0012415445007091298,0.007134174048686606,0.006917551625519991
20200814_clip_34_1503_image_0046,20200814,0.0017592422809008315,0.007244092611088715,0.007101783063262701
20200814_clip_34_1503_image_0048,20200814,0.0015617075664992324,0.007149684306275294,0.006959404330700636
20200814_clip_34_1503_image_0050,20200814,0.001526045176138811,0.007189258301201296,0.0069984071888029575
20200814_clip_34_1503_image_0052,20200814,0.001779740727826837,0.007221688348987423,0.007114601321518421
20200814_clip_34_1503_image_0054,20200814,0.0013665950923586873,0.007251696683605211,0.006999742239713669
20200814_clip_34_1503_image_0056,20200814,0.0017761075859098845,0.007096287789254894,0.006925089284777641
20200814_clip_34_1503_image_0058,20200814,0.001716779614005372,0.007109266143765798,0.006923234555870295
20200814_clip_34_1503_image_0060,20200814,0.0015581588978188224,0.0072128778073207575,0.007027017883956432
20200814_clip_34_1503_image_0062,20200814,0.001635206062658695,0.006868436503698768,0.006712194066494703
20200814_clip_34_1503_image_0064,20200814,0.0015002998687141155,0.007074851500097181,0.006915407720953226
20200814_clip_34_1503_image_0066,20200814,0.0019617309393403027,0.007041887661058451,0.006954668089747429
20200814_clip_34_1503_image_0068,20200814,0.0018076374698894207,0.006964483839848348,0.006877200677990913
20200814_clip_34_1503_image_0070,20200814,0.0016413725332648438,0.0071042587036316005,0.006988948211073875
20200814_clip_34_1503_image_0072,20200814,0.0013352770564088632,0.007035877505191331,0.006887171883136034
20200814_clip_34_1503_image_0074,20200814,0.00130751455826748,0.0070111306046942885,0.006884909234941006
20200814_clip_34_1503_image_0076,20200814,0.0012936187197122603,0.007012758021453137,0.006899959407746792
20200814_clip_34_1503_image_0078,20200814,0.001138467086074168,0.007045511226373151,0.006891461554914713
20200814_clip_34_1503_image_0080,20200814,0.001460619565330223,0.006917038379203843,0.006824490614235401
20200814_clip_34_1503_image_0082,20200814,0.0023353056545971115,0.006918859967187963,0.006944292224943638
20200814_clip_34_1503_image_0084,20200814,0.0013610626063898232,0.007020979699279195,0.006874933373183012
20200814_clip_34_1503_image_0086,20200814,0.0014921520329376967,0.006907550836589547,0.0068379174917936325
20200814_clip_34_1503_image_0088,20200814,0.0017979028059826399,0.006981442022071317,0.00686314282938838
20200814_clip_34_1503_image_0090,20200814,0.002989078177918303,0.006995209207758787,0.0069855814799666405
20200814_clip_34_1503_image_0092,20200814,0.0013469930751906893,0.006939376929188459,0.006885764189064503
20200814_clip_34_1503_image_0094,20200814,0.0012235274701340461,0.006999819161364872,0.006909235846251249
20200814_clip_34_1503_image_0096,20200814,0.0009303802833989096,0.007112878813460188,0.006961324717849493
20200814_clip_34_1503_image_0098,20200814,0.0008368293270006065,0.007055705381104913,0.006917976774275303
20200814_clip_34_1503_image_0100,20200814,0.0015221347626223057,0.006930784339893224,0.006883176974952221
20200814_clip_34_1503_image_0102,20200814,0.0017707409545573334,0.007042391675028874,0.006960643455386162
20200814_clip_34_1503_image_0104,20200814,0.0014966407540418683,0.0069469271567397075,0.00687008211389184
20200814_clip_34_1503_image_0106,20200814,0.0008661373967479311,0.006929715775373892,0.00681800302118063
20200814_clip_34_1503_image_0108,20200814,0.0013581757565338097,0.006856006194166773,0.006765441037714481
20200814_clip_34_1503_image_0110,20200814,0.0027119596692473376,0.006552043614217544,0.006606545764952898
20200814_clip_34_1503_image_0112,20200814,0.0020652688258080668,0.006633832659033478,0.0066374000161886215
20200814_clip_34_1503_image_0114,20200814,0.0013788554766681965,0.006711107891027753,0.006642606575042009
20200814_clip_34_1503_image_0116,20200814,0.0025614768513914214,0.006200809421781326,0.0062942951917648315
20200814_clip_34_1503_image_0118,20200814,0.0010768355869008735,0.006889655294961716,0.006713578011840582
20200814_clip_34_1503_image_0120,20200814,0.0014171456322216473,0.006952505043210996,0.006826519034802914
20200814_clip_35_1520_image_0000,20200814,0.0008876354846856941,0.007099252650883146,0.006987148895859718
20200814_clip_35_1520_image_0002,20200814,0.0009577038035805545,0.007050312319851379,0.006927705369889736
20200814_clip_35_1520_image_0004,20200814,0.0009782197170408475,0.0070809552627519,0.006937888916581869
20200814_clip_35_1520_image_0006,20200814,0.0011453484442599101,0.007079261565677888,0.006952786352485418
20200814_clip_35_1520_image_0008,20200814,0.0009648820066835773,0.007090011265021655,0.006946591194719076
20200814_clip_35_1520_image_0010,20200814,0.0010771131629423408,0.007099724585534598,0.006910743657499552
20200814_clip_35_1520_image_0012,20200814,0.001203877340324167,0.007026942506131267,0.0068541476503014565
20200814_clip_35_1520_image_0014,20200814,0.001365176098974103,0.006592482585172489,0.006477786228060722
20200814_clip_35_1520_image_0016,20200814,0.0007841435220382445,0.0069559289707423165,0.006747564300894737
20200814_clip_35_1520_image_0018,20200814,0.0010435988038804541,0.0069698865660623764,0.006840971764177084
20200814_clip_35_1520_image_0020,20200814,0.0011559178963876605,0.0071481178029157155,0.006987045053392649
20200814_clip_35_1520_image_0022,20200814,0.001181437860501916,0.006964448246086102,0.006828198675066233
